KY_CD,PD_CD,CRM_ATPT_CPTD_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURISDICTION_CODE,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,VIC_AGE_GROUP,VIC_RACE,VIC_SEX,BORO_NM
578,638.0,2,2,1,1,0.0,3,2,2,3,2,1,3
126,198.0,2,1,1,2,2.0,2,1,1,1,5,1,2
344,101.0,2,3,1,6,0.0,4,3,1,3,3,1,5
351,259.0,2,3,1,1,0.0,3,7,3,4,3,1,2
578,638.0,2,2,1,6,0.0,5,3,1,5,2,1,5
578,638.0,1,2,1,1,0.0,3,2,1,3,2,1,2
578,638.0,2,2,1,2,2.0,3,5,1,4,5,1,4
578,638.0,2,2,1,2,2.0,2,3,1,3,3,1,1
578,638.0,2,2,1,19,0.0,1,3,2,1,5,2,3
109,402.0,2,1,1,1,0.0,6,7,3,5,2,1,3
578,638.0,2,2,3,6,0.0,4,2,2,3,2,1,4
353,462.0,2,3,3,6,0.0,3,2,2,5,2,2,5
361,639.0,2,3,1,1,0.0,3,4,1,4,4,1,4
341,338.0,2,3,1,1,0.0,2,3,1,5,3,1,1
116,596.0,2,1,1,6,0.0,3,7,2,4,5,2,5
344,113.0,2,3,4,8,0.0,6,7,3,6,2,2,4
578,637.0,2,2,1,6,0.0,2,1,1,2,1,1,2
578,638.0,2,2,1,1,0.0,4,2,2,5,2,1,3
344,101.0,2,3,3,2,2.0,6,3,1,3,1,1,3
578,638.0,2,2,4,6,0.0,4,3,2,5,3,1,2
341,333.0,2,3,1,25,0.0,6,3,1,6,7,4,3
361,639.0,2,3,1,1,0.0,3,3,2,3,3,1,2
344,101.0,2,3,1,1,0.0,3,3,1,4,3,1,5
235,567.0,2,3,3,7,0.0,1,1,1,6,7,3,2
361,639.0,2,3,3,2,2.0,2,5,1,2,1,1,1
578,637.0,2,2,1,1,0.0,3,3,1,3,1,2,2
109,411.0,2,1,1,14,0.0,3,2,2,3,2,1,3
344,101.0,2,3,1,1,0.0,4,3,2,4,3,2,4
235,511.0,2,3,1,2,2.0,3,3,1,6,7,3,3
109,422.0,1,1,1,1,0.0,6,7,3,3,2,2,3
578,638.0,2,2,1,1,0.0,3,5,1,3,1,1,1
361,639.0,2,3,1,3,0.0,3,2,1,4,2,1,4
578,637.0,2,2,1,1,0.0,3,3,1,3,3,1,1
361,639.0,2,3,1,1,0.0,3,5,1,3,1,1,3
109,422.0,2,1,1,14,0.0,6,7,2,6,7,4,2
351,254.0,2,3,3,6,0.0,6,7,3,4,4,1,2
352,205.0,2,3,3,1,0.0,3,3,1,4,4,2,2
578,638.0,2,2,1,1,0.0,4,3,1,3,3,1,4
106,109.0,2,1,1,1,0.0,3,3,2,4,3,2,2
344,113.0,2,3,3,25,0.0,6,2,1,3,2,1,4
355,115.0,2,3,1,17,3.0,3,1,1,6,7,3,3
578,637.0,2,2,1,1,0.0,2,3,1,4,3,1,2
109,438.0,2,1,1,17,0.0,6,7,3,4,3,1,4
578,638.0,2,2,1,2,2.0,3,1,1,5,1,1,2
105,386.0,2,1,3,8,0.0,3,6,1,3,1,1,4
126,198.0,2,1,1,6,0.0,3,1,2,3,1,1,4
578,637.0,2,2,1,6,0.0,2,3,1,2,3,1,1
235,567.0,2,3,2,2,2.0,3,3,1,6,7,3,1
116,177.0,2,1,1,2,2.0,3,3,1,3,3,1,3
578,638.0,2,2,3,8,0.0,2,4,1,3,4,2,4
